ゲームID,ターン,プレイヤーID,前の単語,要求文字,回答,応答時間_ms,語頭判定,辞書判定,読み,判定,終了理由,勝者ID,敗者ID,プロンプトNo,最大連続回答回数
6,12,GPT-2,ざる,る,るす,1891,○,○,るす,○,,,,30,3
6,13,GPT-1,るす,す,すいか,2389,○,○,すいか,○,,,,30,3
6,14,GPT-1,すいか,か,かぎ,5307,○,○,かぎ,○,,,,30,3
6,15,GPT-2,かぎ,ぎ,銀河,3477,○,○,ぎんが,○,,,,30,3
6,16,GPT-2,銀河,が,がく,4548,○,○,がく,○,,,,30,3
6,17,GPT-2,がく,く,くじら,2643,○,○,くじら,○,,,,30,3
6,18,GPT-1,くじら,ら,らっぱ,2017,○,○,らっぱ,○,,,,30,3
6,19,GPT-1,らっぱ,ぱ,パンダ,1958,○,○,ぱんだ,○,,,,30,3
6,20,GPT-1,パンダ,だ,だるま,2574,○,○,だるま,○,,,,30,3
6,21,GPT-2,だるま,ま,まくら,2474,○,○,まくら,○,,,,30,3
6,22,GPT-2,まくら,ら,ラジオ,2257,○,○,らじお,○,,,,30,3
6,23,GPT-2,ラジオ,お,おみくじ,5399,○,×,,×,辞書外,GPT-1,GPT-2,30,3
7,1,GPT-1,しりとり,り,リス,2221,○,○,りす,○,,,,30,3
7,2,GPT-1,リス,す,スミレ,3160,○,○,すみれ,○,,,,30,3
7,3,GPT-1,スミレ,れ,レコード,2779,○,○,れこーど,○,,,,30,3
7,4,GPT-2,レコード,ど,ドア,2649,○,○,どあ,○,,,,30,3
7,5,GPT-2,ドア,あ,アサガオ,2723,○,○,あさがお,○,,,,30,3
7,6,GPT-2,アサガオ,お,お茶,2088,○,×,,×,辞書外,GPT-1,GPT-2,30,3
8,1,GPT-1,しりとり,り,りんご,4815,○,○,りんご,○,,,,30,3
8,2,GPT-1,りんご,ご,ごま,1793,○,○,ごま,○,,,,30,3
8,3,GPT-1,ごま,ま,まくら,2005,○,○,まくら,○,,,,30,3
8,4,GPT-2,まくら,ら,ラッパ,2304,○,○,らっぱ,○,,,,30,3
8,5,GPT-1,ラッパ,ぱ,パンダ,2281,○,○,ぱんだ,○,,,,30,3
8,6,GPT-1,パンダ,だ,だるま,2002,○,○,だるま,○,,,,30,3
8,7,GPT-1,だるま,ま,まつり,2024,○,○,まつり,○,,,,30,3
8,8,GPT-2,まつり,り,りす,2201,○,○,りす,○,,,,30,3
8,9,GPT-2,りす,す,すいか,2251,○,○,すいか,○,,,,30,3
8,10,GPT-2,すいか,か,かき,3794,○,○,かき,○,,,,30,3
8,11,GPT-1,かき,き,きつね,2143,○,○,きつね,○,,,,30,3
8,12,GPT-2,きつね,ね,ねこ,2053,○,○,ねこ,○,,,,30,3
8,13,GPT-2,ねこ,こ,こあら,5267,○,×,,×,辞書外,GPT-1,GPT-2,30,3
9,1,GPT-1,しりとり,り,りんご,1884,○,○,りんご,○,,,,30,3
9,2,GPT-1,りんご,ご,ごま,2289,○,○,ごま,○,,,,30,3
9,3,GPT-2,ごま,ま,まくら,1417,○,○,まくら,○,,,,30,3
9,4,GPT-2,まくら,ら,ラッパ,1752,○,○,らっぱ,○,,,,30,3
9,5,GPT-2,ラッパ,ぱ,パンダ,3266,○,○,ぱんだ,○,,,,30,3
9,6,GPT-1,パンダ,だ,大根,2205,○,○,だいこん,×,「ん」で終了,GPT-2,GPT-1,30,3
10,1,GPT-1,しりとり,り,リス,2492,○,○,りす,○,,,,30,3
10,2,GPT-1,リス,す,スイカ,2758,○,○,すいか,○,,,,30,3
10,3,GPT-1,スイカ,か,カメラ,1674,○,○,かめら,○,,,,30,3
10,4,GPT-2,カメラ,ら,ラジオ,2061,○,○,らじお,○,,,,30,3
10,5,GPT-2,ラジオ,お,おにぎり,1989,○,○,おにぎり,○,,,,30,3
10,6,GPT-2,おにぎり,り,りんご,4745,○,○,りんご,○,,,,30,3
10,7,GPT-1,りんご,ご,ゴリラ,2268,○,○,ごりら,○,,,,30,3
10,8,GPT-1,ゴリラ,ら,ラッパ,2355,○,○,らっぱ,○,,,,30,3
10,9,GPT-1,ラッパ,ぱ,パンダ,2815,○,○,ぱんだ,○,,,,30,3
10,10,GPT-2,パンダ,だ,大学,2106,○,○,だいがく,○,,,,30,3
10,11,GPT-2,大学,く,くじら,1924,○,○,くじら,○,,,,30,3
10,12,GPT-2,くじら,ら,ラクダ,2992,○,○,らくだ,○,,,,30,3
10,13,GPT-1,ラクダ,だ,だるま,2678,○,○,だるま,○,,,,30,3
10,14,GPT-1,だるま,ま,まくら,2223,○,○,まくら,○,,,,30,3
10,15,GPT-1,まくら,ら,ラッコ,4797,○,○,らっこ,○,,,,30,3
10,16,GPT-2,ラッコ,こ,こたつ,2027,○,○,こたつ,○,,,,30,3
10,17,GPT-2,こたつ,つ,つみき,2247,○,×,,×,辞書外,GPT-1,GPT-2,30,3
11,1,GPT-1,しりとり,り,りんご,1676,○,○,りんご,○,,,,30,3
11,2,GPT-1,りんご,ご,ごま,2115,○,○,ごま,○,,,,30,3
11,3,GPT-1,ごま,ま,まくら,1856,○,○,まくら,○,,,,30,3
11,4,GPT-2,まくら,ら,らっぱ,1644,○,○,らっぱ,○,,,,30,3
11,5,GPT-2,らっぱ,ぱ,パンダ,2590,○,○,ぱんだ,○,,,,30,3
11,6,GPT-2,パンダ,だ,団子,2104,○,○,だんご,○,,,,30,3
11,7,GPT-1,団子,ご,ごぼう,2970,○,○,ごぼう,○,,,,30,3
11,8,GPT-1,ごぼう,う,うさぎ,4378,○,○,うさぎ,○,,,,30,3
11,9,GPT-2,うさぎ,ぎ,銀河,1987,○,○,ぎんが,○,,,,30,3
11,10,GPT-2,銀河,が,ガラス,2184,○,○,がらす,○,,,,30,3
11,11,GPT-2,ガラス,す,すいか,1805,○,○,すいか,○,,,,30,3
11,12,GPT-1,すいか,か,かぼちゃ,7375,○,○,かぼちゃ,○,,,,30,3
11,13,GPT-1,かぼちゃ,や,やさい,4145,○,○,やさい,○,,,,30,3
11,14,GPT-1,やさい,い,いちご,2288,○,○,いちご,○,,,,30,3
11,15,GPT-2,いちご,ご,ごりら,1767,○,○,ごりら,○,,,,30,3
11,16,GPT-2,ごりら,ら,らくだ,2540,○,○,らくだ,○,,,,30,3
11,17,GPT-2,らくだ,だ,だるま,2098,○,○,だるま,○,,,,30,3
11,18,GPT-1,だるま,ま,まつり,2210,○,○,まつり,○,,,,30,3
11,19,GPT-1,まつり,り,りす,2462,○,○,りす,○,,,,30,3
11,20,GPT-1,りす,す,すみれ,2705,○,○,すみれ,○,,,,30,3
11,21,GPT-2,すみれ,れ,れんげ,1535,○,○,れんげ,○,,,,30,3
11,22,GPT-2,れんげ,げ,げた,2300,○,○,げた,○,,,,30,3
11,23,GPT-2,げた,た,たぬき,2048,○,○,たぬき,○,,,,30,3
11,24,GPT-1,たぬき,き,きつね,2180,○,○,きつね,○,,,,30,3
11,25,GPT-1,きつね,ね,ねこ,2523,○,○,ねこ,○,,,,30,3
11,26,GPT-1,ねこ,こ,こま,2807,○,○,こま,○,,,,30,3
11,27,GPT-2,こま,ま,まぐろ,2907,○,○,まぐろ,○,,,,30,3
11,28,GPT-2,まぐろ,ろ,ろうそく,2614,○,○,ろうそく,○,,,,30,3
11,29,GPT-2,ろうそく,く,くじら,1861,○,○,くじら,○,,,,30,3
11,30,GPT-1,くじら,ら,ラジオ,2104,○,○,らじお,○,,,,30,3
11,31,GPT-1,ラジオ,お,おうむ,7286,○,○,おうむ,○,,,,30,3
11,32,GPT-1,おうむ,む,むぎ,2111,○,○,むぎ,○,,,,30,3
11,33,GPT-2,むぎ,ぎ,ギター,2049,○,○,ぎたー,○,,,,30,3
11,34,GPT-2,ギター,あ,あさがお,2309,○,○,あさがお,○,,,,30,3
11,35,GPT-2,あさがお,お,おにぎり,3358,○,○,おにぎり,○,,,,30,3
11,36,GPT-1,おにぎり,り,料理,3500,○,○,りょうり,○,,,,30,3
11,37,GPT-1,料理,り,力士,4400,○,○,りきし,○,,,,30,3
11,38,GPT-1,力士,し,しおり,3574,○,○,しおり,○,,,,30,3
11,39,GPT-2,しおり,り,りんご,2145,○,○,りんご,×,既出単語,GPT-1,GPT-2,30,3
12,1,GPT-1,しりとり,り,りんご,2470,○,○,りんご,○,,,,30,3
12,2,GPT-1,りんご,ご,ごま,2043,○,○,ごま,○,,,,30,3
12,3,GPT-1,ごま,ま,まくら,1677,○,○,まくら,○,,,,30,3
12,4,GPT-2,まくら,ら,ランプ,3151,○,○,らんぷ,○,,,,30,3
12,5,GPT-2,ランプ,ぷ,プルトニウム,4712,○,○,ぷるとにうむ,○,,,,30,3
12,6,GPT-2,プルトニウム,む,むし,2099,○,○,むし,○,,,,30,3
12,7,GPT-1,むし,し,しお,2690,○,○,しお,○,,,,30,3
12,8,GPT-1,しお,お,おもち,7305,○,×,,×,辞書外,GPT-2,GPT-1,30,3
13,1,GPT-1,しりとり,り,りんご,2043,○,○,りんご,○,,,,30,3
13,2,GPT-1,りんご,ご,ごま,2025,○,○,ごま,○,,,,30,3
13,3,GPT-1,ごま,ま,魔女,3528,○,○,まじょ,○,,,,30,3
13,4,GPT-2,魔女,よ,ヨット,2389,○,○,よっと,○,,,,30,3
13,5,GPT-2,ヨット,と,時計,2422,○,○,とけい,○,,,,30,3
13,6,GPT-2,時計,い,椅子,5827,○,○,いす,○,,,,30,3
13,7,GPT-1,椅子,す,すみれ,3695,○,○,すみれ,○,,,,30,3
13,8,GPT-1,すみれ,れ,冷蔵庫,2873,×,×,,×,辞書外,GPT-2,GPT-1,30,3
14,1,GPT-1,しりとり,り,りんご,1818,○,○,りんご,○,,,,30,3
14,2,GPT-1,りんご,ご,ごま,2534,○,○,ごま,○,,,,30,3
14,3,GPT-1,ごま,ま,まくら,3104,○,○,まくら,○,,,,30,3
14,4,GPT-2,まくら,ら,ラッパ,3868,○,○,らっぱ,○,,,,30,3
14,5,GPT-2,ラッパ,ぱ,パイプ,2793,○,○,ぱいぷ,○,,,,30,3
14,6,GPT-1,パイプ,ぷ,プール,1999,○,○,ぷーる,○,,,,30,3
14,7,GPT-1,プール,る,ルビー,1888,○,○,るびー,○,,,,30,3
14,8,GPT-1,ルビー,い,いす,2402,○,○,いす,○,,,,30,3
14,9,GPT-2,いす,す,すいか,1566,○,○,すいか,○,,,,30,3
14,10,GPT-2,すいか,か,かぶ,3690,○,○,かぶ,○,,,,30,3
14,11,GPT-2,かぶ,ぶ,ぶどう,2484,○,○,ぶどう,○,,,,30,3
14,12,GPT-1,ぶどう,う,うず,4246,○,○,うず,○,,,,30,3
14,13,GPT-2,うず,ず,図工,1785,○,○,ずこう,○,,,,30,3
14,14,GPT-2,図工,う,うさぎ,3515,○,○,うさぎ,○,,,,30,3
14,15,GPT-1,うさぎ,ぎ,ギター,3478,○,○,ぎたー,○,,,,30,3
14,16,GPT-1,ギター,あ,あひる,4147,○,○,あひる,○,,,,30,3
14,17,GPT-1,あひる,る,留守,3019,○,○,るす,○,,,,30,3
14,18,GPT-2,留守,す,すし,5447,○,○,すし,○,,,,30,3
14,19,GPT-2,すし,し,しか,3640,○,○,しか,○,,,,30,3
14,20,GPT-2,しか,か,かめ,3429,○,○,かめ,○,,,,30,3
14,21,GPT-1,かめ,め,めがね,2353,○,○,めがね,○,,,,30,3
14,22,GPT-1,めがね,ね,ねこ,2318,○,○,ねこ,○,,,,30,3
14,23,GPT-1,ねこ,こ,こま,2220,○,○,こま,○,,,,30,3
14,24,GPT-2,こま,ま,まど,2935,○,○,まど,○,,,,30,3
14,25,GPT-2,まど,ど,どらやき,2164,○,×,,×,辞書外,GPT-1,GPT-2,30,3
15,1,GPT-1,しりとり,り,りんご,1962,○,○,りんご,○,,,,30,3
15,2,GPT-1,りんご,ご,ごま,2089,○,○,ごま,○,,,,30,3
15,3,GPT-1,ごま,ま,まくら,2253,○,○,まくら,○,,,,30,3
15,4,GPT-2,まくら,ら,ラッパ,2143,○,○,らっぱ,○,,,,30,3
