ゲームID,ターン,プレイヤーID,前の単語,要求文字,回答,応答時間_ms,語頭判定,辞書判定,読み,判定,終了理由,勝者ID,敗者ID,プロンプトNo,最大連続回答回数,禁止語尾,情報開示強度,得点,累計得点,推測・理由
2,4,GPT-2-1,eeeeeb,b,beeeee,4147,○,○,beeeee,○,,,,250,1,d,1,6,12,未出で禁止語尾dを避けつつ、使用可能な文字の中で合計値が最大になる語を選択した。
2,5,GPT-1-3,beeeee,e,eeeeea,4710,○,○,eeeeea,○,,,,250,1,d,3,6,18,未使用で、eから始まり、禁止語尾dを避けています。
2,6,GPT-2-1,eeeeea,a,aeeeeb,4288,○,○,aeeeeb,○,,,,250,1,d,1,5,17,未使用で、aから始まり禁止語尾dを避けつつ高得点になるため。
2,7,GPT-1-3,aeeeeb,b,beeeec,7348,○,○,beeeec,○,,,,250,1,d,3,5,23,未使用で禁止語尾dを避け、bから始まる候補です。
2,8,GPT-2-1,beeeec,c,ceeeee,3836,○,○,ceeeee,○,,,,250,1,d,1,6,23,未出で禁止語尾dを避けつつ、次に必要なcで始まり、eを最大限使うため最高得点になると推測します。
2,9,GPT-1-3,ceeeee,e,eeeeec,5234,○,○,eeeeec,○,,,,250,1,d,3,6,29,
2,10,GPT-2-1,eeeeec,c,cdeeee,6088,○,○,cdeeee,○,,,,250,1,d,1,6,29,未出で禁止語尾を避けつつ、cから始まる候補の中で高得点になるため。
2,11,GPT-1-3,cdeeee,e,eeeede,5073,○,○,eeeede,○,,,,250,1,d,3,6,35,未使用で、eから始まり禁止語尾dを避けつつ、高得点が見込めるため。
2,12,GPT-2-1,eeeede,e,eeeece,4050,○,○,eeeece,○,,,,250,1,d,1,6,35,未使用で禁止語尾のdを避け、次回もeから続けられる候補を選びました。
2,13,GPT-1-3,eeeece,e,eeebe e,4980,×,×,,×,辞書外,GPT-2-1,GPT-1-3,250,1,d,3,0,35,
1,1,GPT-1-3,,a,aeeeee,4268,○,○,aeeeee,○,,,,250,1,d,3,6,6,高得点を狙うため、禁止語尾のdを避け、aで始まり残りをeにしました。
1,2,GPT-2-1,aeeeee,e,eeeeee,4341,○,○,eeeeee,○,,,,250,1,d,1,6,6,
1,3,GPT-1-3,eeeeee,e,edeeee,4828,○,○,edeeee,○,,,,250,1,d,3,6,12,既出語を避けつつ、禁止語尾のdを回避するため。
1,4,GPT-2-1,edeeee,e,eeeeec,3828,○,○,eeeeec,○,,,,250,1,d,1,6,12,未使用でeから始まり、禁止語尾dを避けつつ高得点になる語を選択しました。
1,5,GPT-1-3,eeeeec,c,ceeeee,3868,○,○,ceeeee,○,,,,250,1,d,3,6,18,
1,6,GPT-2-1,ceeeee,e,eeeeeb,4156,○,○,eeeeeb,○,,,,250,1,d,1,6,18,未出で禁止語尾ではなく、eを最大限使えるため。
1,7,GPT-1-3,eeeeeb,b,beeeee,5015,○,○,beeeee,○,,,,250,1,d,3,6,24,bで始まり、未使用かつ禁止語尾dを避けながら、eを最大限使えるため。
1,8,GPT-2-1,beeeee,e,eeeeea,4917,○,○,eeeeea,○,,,,250,1,d,1,6,24,未使用で、指定文字eから始まり、禁止語尾dを避けられるため。
1,9,GPT-1-3,eeeeea,a,aeeeec,7206,○,○,aeeeec,○,,,,250,1,d,3,5,29,aで始まり、未出で禁止語尾dを避けつつ、得点が高くなるようeを多く選びました。
1,10,GPT-2-1,aeeeec,c,ceeeec,5220,○,○,ceeeec,○,,,,250,1,d,1,6,30,高得点を狙いつつ、既出語と禁止語尾dを避けました。
1,11,GPT-1-3,ceeeec,c,ceeeea,2909,○,○,ceeeea,○,,,,250,1,d,3,5,34,
1,12,GPT-2-1,ceeeea,a,aeeeeb,3404,○,○,aeeeeb,○,,,,250,1,d,1,5,35,未使用で、指定されたaから始まり、禁止語尾dを避けているため。
1,13,GPT-1-3,aeeeeb,b,beeeec,4640,○,○,beeeec,○,,,,250,1,d,3,5,39,未使用で、必要文字bから始まり、禁止語尾dを避けているため。
1,14,GPT-2-1,beeeec,c,ceeeeb,5725,○,○,ceeeeb,○,,,,250,1,d,1,5,40,
1,15,GPT-1-3,ceeeeb,b,beedee,10456,○,○,beedee,○,,,,250,1,d,3,6,45,未使用で禁止語尾ではなく、合計26となり6点を狙えるため。
1,16,GPT-2-1,beedee,e,eeeeea,6510,○,○,eeeeea,×,既出単語,GPT-1-3,GPT-2-1,250,1,d,1,0,40,未使用で禁止語尾のdを避けつつ、文字合計が最大級になるため。
2,1,GPT-1-3,,a,aeeeee,5324,○,○,aeeeee,○,,,,250,1,d,3,6,6,aで始まり、禁止語尾dを避けつつ、合計値が最大になるようeを選択しました。
2,2,GPT-2-1,aeeeee,e,eeeeee,5120,○,○,eeeeee,○,,,,250,1,d,1,6,6,禁止語尾dを避け、使用可能な文字の中で得点を最大化できるため。
2,3,GPT-1-3,eeeeee,e,eeeede,4612,○,○,eeeede,○,,,,250,1,d,3,6,12,eで始まり、既出語ではなく、禁止語尾のdを避けつつ高得点になる語を選択しました。
2,4,GPT-2-1,eeeede,e,eeeeea,3067,○,○,eeeeea,○,,,,250,1,d,1,6,12,未出でeから始まり、禁止語尾dを避けつつ高得点になるため。
2,5,GPT-1-3,eeeeea,a,aeeeec,4115,○,○,aeeeec,○,,,,250,1,d,3,5,17,
2,6,GPT-2-1,aeeeec,c,cccccc,2528,○,○,cccccc,○,,,,250,1,d,1,5,17,
2,7,GPT-1-3,cccccc,c,ceeeee,4715,○,○,ceeeee,○,,,,250,1,d,3,6,23,未使用でcから始まり、禁止語尾dを避けつつ、最大得点を狙えるため。
2,8,GPT-2-1,ceeeee,e,eeeeec,6565,○,○,eeeeec,○,,,,250,1,d,1,6,23,未使用で、eから始まり禁止語尾dを避けつつ、可能な範囲で高得点になる語を選択しました。
2,9,GPT-1-3,eeeeec,c,ceeede,5989,○,○,ceeede,○,,,,250,1,d,3,6,29,既出語を避けつつ、禁止語尾のdを避け、cから始まる中で高得点になる語を選択しました。
2,10,GPT-2-1,ceeede,e,eeeeeb,3579,○,○,eeeeeb,○,,,,250,1,d,1,6,29,未出で、指定文字eから始まり、禁止語尾dを避けられるため。
2,11,GPT-1-3,eeeeeb,b,beeeee,2699,○,○,beeeee,○,,,,250,1,d,3,6,35,
2,12,GPT-2-1,beeeee,e,eeeede,6539,○,○,eeeede,×,既出単語,GPT-1-3,GPT-2-1,250,1,d,1,0,29,未使用でeから始まり、禁止語尾dを避けつつ、可能な範囲で高得点になる語を選択しました。
1,1,GPT-1-3,,a,aeeeee,5207,○,○,aeeeee,○,,,,250,1,d,3,6,6,
1,2,GPT-2-1,aeeeee,e,eeeeee,4038,○,○,eeeeee,○,,,,250,1,d,1,6,6,
1,3,GPT-1-3,eeeeee,e,eeeeea,4483,○,○,eeeeea,○,,,,250,1,d,3,6,12,既出語と禁止語尾を避け、次に必要な文字 e から始めた。
1,4,GPT-2-1,eeeeea,a,aeeede,7088,○,○,aeeede,○,,,,250,1,d,1,5,11,合計値は29で、平方根の切り上げ得点は6点です。既出語ではなく、禁止語尾のdでもありません。
1,5,GPT-1-3,aeeede,e,eeeede,6972,○,○,eeeede,○,,,,250,1,d,3,6,18,未使用で、eから始まりd以外で終わる候補の中では、文字の合計値が高いため。
1,6,GPT-2-1,eeeede,e,eeeeae,4876,○,○,eeeeae,○,,,,250,1,d,1,6,17,既出語と禁止語尾dを避けつつ、eを先頭にし、合計点を高めるため。
1,7,GPT-1-3,eeeeae,e,eeeeec,3730,○,○,eeeeec,○,,,,250,1,d,3,6,24,
1,8,GPT-2-1,eeeeec,c,ceeeee,8141,○,○,ceeeee,○,,,,250,1,d,1,6,23,未出でcから始まり、禁止語尾dを避けつつ、文字合計を最大化できるため。
1,9,GPT-1-3,ceeeee,e,eeeeeb,4968,○,○,eeeeeb,○,,,,250,1,d,3,6,30,未使用で禁止語尾でもなく、eを多く含むため高得点になると推測しました。
1,10,GPT-2-1,eeeeeb,b,beeeee,3140,○,○,beeeee,○,,,,250,1,d,1,6,29,
1,11,GPT-1-3,beeeee,e,eeeebe,7796,○,○,eeeebe,○,,,,250,1,d,3,6,36,
1,12,GPT-2-1,eeeebe,e,ee eeca,6989,×,×,,×,辞書外,GPT-1-3,GPT-2-1,250,1,d,1,0,29,
2,1,GPT-1-3,,a,aeeeee,4311,○,○,aeeeee,○,,,,250,1,d,3,6,6,aで始まり、禁止語尾のdを避けつつ、使用可能な文字の中で合計点が最大になるようeを多く選択しました。
2,2,GPT-2-1,aeeeee,e,eeeeee,5972,○,○,eeeeee,○,,,,250,1,d,1,6,6,eから始まり、禁止語尾dを避けつつ、最高得点が見込めるため。
2,3,GPT-1-3,eeeeee,e,eeeede,4530,○,○,eeeede,○,,,,250,1,d,3,6,12,未使用で禁止語尾を避けつつ、合計値が高い語を選択しました。
2,4,GPT-2-1,eeeede,e,eeeeec,5008,○,○,eeeeec,○,,,,250,1,d,1,6,12,未使用で禁止語尾のdを避けつつ、得点が最大級になる語を選択しました。
2,5,GPT-1-3,eeeeec,c,ceeeee,4912,○,○,ceeeee,○,,,,250,1,d,3,6,18,未使用で禁止語尾ではなく、cから始まりeを多く含むため高得点を狙えると推測しました。
2,6,GPT-2-1,ceeeee,e,eeeeeb,5171,○,○,eeeeeb,○,,,,250,1,d,1,6,18,既出語と禁止語尾を避けつつ、得点を最大化するため。
2,7,GPT-1-3,eeeeeb,b,beeeee,4145,○,○,beeeee,○,,,,250,1,d,3,6,24,bで始まり、禁止語尾dを避けつつ、未使用で合計点が高くなるeを多く選びました。
2,8,GPT-2-1,beeeee,e,eeeeea,3383,○,○,eeeeea,○,,,,250,1,d,1,6,24,
2,9,GPT-1-3,eeeeea,a,aeeeec,5427,○,○,aeeeec,○,,,,250,1,d,3,5,29,
2,10,GPT-2-1,aeeeec,c,ceeede,6969,○,○,ceeede,○,,,,250,1,d,1,6,30,未使用で禁止語尾のdを避けつつ、cから始まる中で高得点になる語を選びました。
2,11,GPT-1-3,ceeede,e,eeeece,5205,○,○,eeeece,○,,,,250,1,d,3,6,35,未使用で禁止語尾dを避け、eから始まる6文字を選択しました。
2,12,GPT-2-1,eeeece,e,eeeebe,10191,○,○,eeeebe,○,,,,250,1,d,1,6,36,未出で禁止語尾ではなく、eから始まり高得点になる語を選択しました。
2,13,GPT-1-3,eeeebe,e,eeeeeae,3434,×,×,,×,辞書外,GPT-2-1,GPT-1-3,250,1,d,3,0,35,
3,1,GPT-1-3,,a,aeeeee,6646,○,○,aeeeee,○,,,,250,1,d,3,6,6,aで始まり、dで終わらず、未出のため。
3,2,GPT-2-1,aeeeee,e,eeeeee,5039,○,○,eeeeee,○,,,,250,1,d,1,6,6,次に必要な文字がeで、禁止語尾dと既出語を避けるため。
3,3,GPT-1-3,eeeeee,e,eeeeec,9192,○,○,eeeeec,○,,,,250,1,d,3,6,12,既出語と禁止語尾を避けつつ、得点を高くするため。
3,4,GPT-2-1,eeeeec,c,ceeeee,6246,○,○,ceeeee,○,,,,250,1,d,1,6,12,cで始まり、未出かつ禁止語尾dを避けながら、eを多く含めて得点を最大化できるため。
3,5,GPT-1-3,ceeeee,e,eeeeeb,4542,○,○,eeeeeb,○,,,,250,1,d,3,6,18,未出で禁止語尾ではなく、eを多く含むため高得点になると推測します。
3,6,GPT-2-1,eeeeeb,b,beeeee,4014,○,○,beeeee,○,,,,250,1,d,1,6,18,bで始まり禁止語尾dを避け、未出かつ合計点が最大になるようeを5文字選択しました。
3,7,GPT-1-3,beeeee,e,eeeeea,2920,○,○,eeeeea,○,,,,250,1,d,3,6,24,
3,8,GPT-2-1,eeeeea,a,aeeeec,8081,○,○,aeeeec,○,,,,250,1,d,1,5,23,未使用でaから始まり、禁止語尾dを避けた候補です。
3,9,GPT-1-3,aeeeec,c,ceeeeb,5228,○,○,ceeeeb,○,,,,250,1,d,3,5,29,cで始まり、既出語でなく、禁止語尾dでもないため。
3,10,GPT-2-1,ceeeeb,b,beeeec,6130,○,○,beeeec,○,,,,250,1,d,1,5,28,
3,11,GPT-1-3,beeeec,c,ceeeea,3132,○,○,ceeeea,○,,,,250,1,d,3,5,34,
3,12,GPT-2-1,ceeeea,a,aeeeeb,7509,○,○,aeeeeb,○,,,,250,1,d,1,5,33,aで始まり、既出語ではなく、禁止語尾dも避けられるため。
3,13,GPT-1-3,aeeeeb,b,beeeeb,6221,○,○,beeeeb,○,,,,250,1,d,3,5,39,bで始まり、既出語でなく、禁止語尾dを避けつつ、利用可能な中で高得点になる語を選択しました。
3,14,GPT-2-1,beeeeb,b,beeeea,4539,○,○,beeeea,○,,,,250,1,d,1,5,38,未使用で、次に必要なbから始まり、禁止語尾dを避けられるため。
3,15,GPT-1-3,beeeea,a,adeeee,6636,○,○,adeeee,○,,,,250,1,d,3,5,44,未使用でaから始まり、禁止語尾dを避けつつ、内部に高得点のeを多く含むため。
3,16,GPT-2-1,adeeee,e,eeeede,8951,○,○,eeeede,○,,,,250,1,d,1,6,44,未使用で禁止語尾dを避けつつ、eを多く含むため高得点が期待できます。
3,17,GPT-1-3,eeeede,e,eeece,6117,×,×,,×,辞書外,GPT-2-1,GPT-1-3,250,1,d,3,0,44,
4,1,GPT-1-3,,a,aeeeee,3684,○,○,aeeeee,○,,,,250,1,d,3,6,6,aで始まり禁止語尾dを避けつつ、eを多く使って得点を最大化しました。
4,2,GPT-2-1,aeeeee,e,eeeeee,4233,○,○,eeeeee,○,,,,250,1,d,1,6,6,
4,3,GPT-1-3,eeeeee,e,eeeede,10864,○,○,eeeede,○,,,,250,1,d,3,6,12,未使用で、eから始まり、禁止語尾dを避けつつ得点を最大化できる語を選択した。
4,4,GPT-2-1,eeeede,e,eeeeec,4923,○,○,eeeeec,○,,,,250,1,d,1,6,12,未使用で禁止語尾のdを避けつつ、eを最大限使えるためです。
4,5,GPT-1-3,eeeeec,c,ceeeee,2393,○,○,ceeeee,○,,,,250,1,d,3,6,18,
4,6,GPT-2-1,ceeeee,e,eeeeeb,4192,○,○,eeeeeb,○,,,,250,1,d,1,6,18,未使用で禁止語尾dを避けつつ、eを多く含むため高得点が見込めます。
4,7,GPT-1-3,eeeeeb,b,beeeee,3908,○,○,beeeee,○,,,,250,1,d,3,6,24,
4,8,GPT-2-1,beeeee,e,eeeeea,5735,○,○,eeeeea,○,,,,250,1,d,1,6,24,未使用で禁止語尾dを避けつつ、eを5文字使うため高得点が見込めます。
4,9,GPT-1-3,eeeeea,a,aeeeec,5918,○,○,aeeeec,○,,,,250,1,d,3,5,29,未使用で、aから始まり禁止語尾dを避けつつ高得点になる語を選択。
4,10,GPT-2-1,aeeeec,c,ceeeeb,8067,○,○,ceeeeb,○,,,,250,1,d,1,5,29,未使用で、cから始まり、禁止語尾dを避けつつ文字合計が最大になるため。
4,11,GPT-1-3,ceeeeb,b,beeeea,3061,○,○,beeeea,○,,,,250,1,d,3,5,34,
4,12,GPT-2-1,beeeea,a,aeeeeb,3837,○,○,aeeeeb,○,,,,250,1,d,1,5,34,aで始まり、未使用かつ禁止語尾dを避ける必要があるため。
4,13,GPT-1-3,aeeeeb,b,beeece,4296,○,○,beeece,○,,,,250,1,d,3,5,39,
4,14,GPT-2-1,beeece,e,eeeece,6039,○,○,eeeece,○,,,,250,1,d,1,6,40,未使用で禁止語尾dを避けつつ、eから始まり得点を高くできる語を選択しました。
4,15,GPT-1-3,eeeece,e,eeedee,5213,○,○,eeedee,○,,,,250,1,d,3,6,45,未使用で禁止語尾ではなく、合計値が高いため。
4,16,GPT-2-1,eeedee,e,eeecee,5360,○,○,eeecee,○,,,,250,1,d,1,6,46,未使用で禁止語尾ではなく、次に必要なeで始まり、比較的高得点になる語を選択しました。
4,17,GPT-1-3,eeecee,e,eeceee,5558,○,○,eeceee,○,,,,250,1,d,3,6,51,
4,18,GPT-2-1,eeceee,e,eeecee,3098,○,○,eeecee,×,既出単語,GPT-1-3,GPT-2-1,250,1,d,1,0,46,次に必要な文字eで始まり、禁止語尾dを避けた未使用語を選択しました。
5,1,GPT-1-3,,a,aeeeee,4044,○,○,aeeeee,○,,,,250,1,d,3,6,6,未使用で、指定文字aから始まり、禁止語尾dを避けつつ得点を高くできる語を選択しました。
5,2,GPT-2-1,aeeeee,e,eeeeee,3978,○,○,eeeeee,○,,,,250,1,d,1,6,6,
5,3,GPT-1-3,eeeeee,e,eeeeec,4632,○,○,eeeeec,○,,,,250,1,d,3,6,12,未使用でeから始まり、禁止語尾dを避けつつ高得点を狙えるため。
5,4,GPT-2-1,eeeeec,c,ceeeee,3327,○,○,ceeeee,○,,,,250,1,d,1,6,12,最高得点を狙うため、次に必要なcで始め、残りをすべて最大値のeにしました。
5,5,GPT-1-3,ceeeee,e,eeeeea,5461,○,○,eeeeea,○,,,,250,1,d,3,6,18,
5,6,GPT-2-1,eeeeea,a,aeeeec,6117,○,○,aeeeec,○,,,,250,1,d,1,5,17,aで始まり、既出語ではなく、禁止語尾dでもないため。
5,7,GPT-1-3,aeeeec,c,ceeeec,9032,○,○,ceeeec,○,,,,250,1,d,3,6,24,cで始まり、既出語ではなく、禁止語尾dを避けています。
5,8,GPT-2-1,ceeeec,c,ceeeeb,7458,○,○,ceeeeb,○,,,,250,1,d,1,5,22,cで始まり、既出語でなく、禁止語尾dを避けた中で高得点になる語。
5,9,GPT-1-3,ceeeeb,b,beeeee,3324,○,○,beeeee,○,,,,250,1,d,3,6,30,
5,10,GPT-2-1,beeeee,e,eeeece,5031,○,○,eeeece,○,,,,250,1,d,1,6,28,高得点を狙いつつ、既出語と禁止語尾dを避けたため。
5,11,GPT-1-3,eeeece,e,eeeeeb,3923,○,○,eeeeeb,○,,,,250,1,d,3,6,36,
5,12,GPT-2-1,eeeeeb,b,beeeec,4653,○,○,beeeec,○,,,,250,1,d,1,5,33,
5,13,GPT-1-3,beeeec,c,ceeeee,2588,○,○,ceeeee,×,既出単語,GPT-2-1,GPT-1-3,250,1,d,3,0,36,
